date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:27	86/86	---M-Z	200	added ('OK')	text/plain	date:Fri,%2007%20Jan%202022%2011:26:25%20GMT	https://gamercraft.com/robots.txt		(from )
14:26:27	25121/25121	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2011:26:25%20GMT	https://gamercraft.com/	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/gamercraft.com/index.html	(from )
14:26:28	234843/234843	---M-Z	200	added ('OK')	text/css	etag:%2251a203d9c4257d7583e97386109d2516%22	https://assets.website-files.com/5f8aeaae8244764ce3e625a5/css/gamercraft.webflow.b2b7ece36.min.css	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8244764ce3e625a5/css/gamercraft.webflow.b2b7ece36.min.css	(from https://gamercraft.com/)
14:26:28	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://gamercraft.com/)
14:26:28	2158/2158	---M--	200	added ('OK')	image/png	etag:%2226a89371534f2d8923c8182c5cfd46c2%22	https://assets.website-files.com/5f8aeaae8244764ce3e625a5/5f8aeaae8ac5022c4c825b38_gcfavicon.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8244764ce3e625a5/5f8aeaae8ac5022c4c825b38_gcfavicon.png	(from https://gamercraft.com/)
14:26:29	40877/40877	---M--	200	added ('OK')	image/jpeg	etag:%220b1c6fac517e3f2c5901c31334ec1764%22	https://assets.website-files.com/5f8aeaae8244764ce3e625a5/5f8aeaae8ac5022435825b3b_gcwebclip.jpg	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8244764ce3e625a5/5f8aeaae8ac5022435825b3b_gcwebclip.jpg	(from https://gamercraft.com/)
14:26:29	158998/158998	---MCZ	200	added ('OK')	application/javascript	etag:%2226d16-krwnn4iHuwk5pl0xUx1/b91t23c%22	https://unpkg.com/cotter@0.3.34/dist/cotter.loader.js	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/unpkg.com/cotter@0.3.34/dist/cotter.loader.js	(from https://gamercraft.com/)
14:26:29	17154/17154	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2011:26:27%20GMT	https://gamercraft.com/browse	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/gamercraft.com/browse.html	(from https://gamercraft.com/)
14:26:29	38721/38721	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2011:26:28%20GMT	https://gamercraft.com/tournament-rules	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/gamercraft.com/tournament-rules.html	(from https://gamercraft.com/)
14:26:30	132176/132176	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2011:26:28%20GMT	https://gamercraft.com/blog	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/gamercraft.com/blog.html	(from https://gamercraft.com/)
